sample_name,sample_type,batch
AOU_NIST_001,nist,1
AOU_HHEAR_P1_001,hhear p1,1
AOU_SP_001,sp,1
AOU_S_0001,study,1
AOU_S_0002,study,1
AOU_S_0003,study,1
AOU_S_0004,study,1
AOU_S_0005,study,1
AOU_S_0006,study,1
AOU_S_0007,study,1
AOU_S_0008,study,1
AOU_S_0009,study,1
AOU_S_0010,study,1
AOU_HHEAR_P2_002,hhear p2,1
AOU_SP_002,sp,1
AOU_S_0011,study,1
AOU_S_0012,study,1
AOU_S_0013,study,1
AOU_S_0014,study,1
AOU_S_0015,study,1
AOU_S_0016,study,1
AOU_S_0017,study,1
AOU_S_0018,study,1
AOU_S_0019,study,1
AOU_S_0020,study,1
AOU_HHEAR_P1_003,hhear p1,1
AOU_SP_003,sp,1
AOU_S_0021,study,1
AOU_S_0022,study,1
AOU_S_0024,study,1
AOU_S_0025,study,1
AOU_S_0026,study,1
AOU_S_0027,study,1
AOU_S_0028,study,1
AOU_S_0029,study,1
AOU_S_0030,study,1
AOU_HHEAR_P2_004,hhear p2,1
AOU_SP_004,sp,1
AOU_S_0031,study,1
AOU_S_0032,study,1
AOU_S_0033,study,1
AOU_S_0034,study,1
AOU_S_0035,study,1
AOU_S_0036,study,1
AOU_S_0037,study,1
AOU_S_0038,study,1
AOU_S_0039,study,1
AOU_S_0040,study,1
AOU_NIST_002,nist,1
AOU_HHEAR_P1_005,hhear p1,1
AOU_SP_005,sp,1
AOU_S_0041,study,1
AOU_S_0042,study,1
AOU_S_0043,study,1
AOU_S_0044,study,1
AOU_S_0045,study,1
AOU_S_0046,study,1
AOU_S_0047,study,1
AOU_S_0048,study,1
AOU_S_0049,study,1
AOU_S_0050,study,1
AOU_HHEAR_P2_006,hhear p2,1
AOU_SP_006,sp,1
AOU_S_0051,study,1
AOU_S_0052,study,1
AOU_S_0053,study,1
AOU_S_0054,study,1
AOU_S_0055,study,1
AOU_S_0056,study,1
AOU_S_0057,study,1
AOU_S_0058,study,1
AOU_S_0059,study,1
AOU_S_0060,study,1
AOU_HHEAR_P1_007,hhear p1,1
AOU_SP_007,sp,1
AOU_S_0061,study,1
AOU_S_0062,study,1
AOU_S_0063,study,1
AOU_S_0064,study,1
AOU_S_0065,study,1
AOU_S_0066,study,1
AOU_S_0067,study,1
AOU_S_0068,study,1
AOU_S_0069,study,1
AOU_S_0070,study,1
AOU_HHEAR_P2_008,hhear p2,1
AOU_SP_008,sp,1
AOU_S_0071,study,1
AOU_S_0072,study,1
AOU_S_0073,study,1
AOU_S_0074,study,1
AOU_S_0075,study,1
AOU_S_0076,study,1
AOU_S_0077,study,1
AOU_S_0078,study,1
AOU_S_0079,study,1
AOU_S_0080,study,1
AOU_NIST_003,nist,1
AOU_HHEAR_P1_009,hhear p1,1
AOU_SP_009,sp,1
AOU_NIST_004,nist,2
AOU_HHEAR_P2_010,hhear p2,2
AOU_SP_010,sp,2
AOU_S_0081,study,2
AOU_S_0082,study,2
AOU_S_0083,study,2
AOU_S_0084,study,2
AOU_S_0085,study,2
AOU_S_0086,study,2
AOU_S_0087,study,2
AOU_S_0088,study,2
AOU_S_0089,study,2
AOU_S_0090,study,2
AOU_HHEAR_P1_011,hhear p1,2
AOU_SP_011,sp,2
AOU_S_0091,study,2
AOU_S_0092,study,2
AOU_S_0093,study,2
AOU_S_0094,study,2
AOU_S_0095,study,2
AOU_S_0096,study,2
AOU_S_0097,study,2
AOU_S_0098,study,2
AOU_S_0099,study,2
AOU_S_0100,study,2
AOU_HHEAR_P2_012,hhear p2,2
AOU_SP_012,sp,2
AOU_S_0101,study,2
AOU_S_0102,study,2
AOU_S_0103,study,2
AOU_S_0105,study,2
AOU_S_0106,study,2
AOU_S_0107,study,2
AOU_S_0108,study,2
AOU_S_0109,study,2
AOU_S_0110,study,2
AOU_HHEAR_P1_013,hhear p1,2
AOU_SP_013,sp,2
AOU_S_0111,study,2
AOU_S_0112,study,2
AOU_S_0113,study,2
AOU_S_0114,study,2
AOU_S_0115,study,2
AOU_S_0116,study,2
AOU_S_0117,study,2
AOU_S_0118,study,2
AOU_S_0119,study,2
AOU_S_0120,study,2
AOU_NIST_005,nist,2
AOU_HHEAR_P2_014,hhear p2,2
AOU_SP_014,sp,2
AOU_S_0121,study,2
AOU_S_0122,study,2
